periode_data,wilayah,no_registrasi,jenis_halte,kode_barang,lokasi_alamat,lintang,bujur
2024,KOTA ADM. JAKARTA BARAT,HLT202400349,REGULER,133010118004,JL. DAAN MOGOT RT 8 RW 2 CENGKARENG BAR KECAMATAN CENGKARENG KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11730 SEBRANG SUZUKI SENTRA CENGKARENG,-6.1375106,106.8179752
2024,KOTA ADM. JAKARTA SELATAN,HLT202400350,REGULER,133010118004,JL. SALEMBA RAYA 9 10 RT 1 RW 3 PASEBAN KEC SENEN KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10430 HALTE PERTANIAN,-6.1361712,106.8260091
2024,KOTA ADM. JAKARTA BARAT,HLT202400351,REGULER,133010118004,JL. PANGERAN TUBAGUS ANGKE 8 RT 13 RW 7 JELAMBAR BARU KEC GROGOL PETAMBURAN KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 14450 HALTE BNI,-6.1365378,106.8148457
2024,KOTA ADM. JAKARTA SELATAN,HLT202400352,REGULER,133010118004,JL. PENJERNIHAN 1 KARET TENGSIN KECAMATAN TANAH ABANG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10250 DEPAN RUMAH BERSAMA CILIWUNG,-6.2293679,106.8927793
2024,KOTA ADM. JAKARTA BARAT,HLT202400353,REGULER,133010118004,JL. PANGERAN TUBAGUS ANGKE RT 16 JELAMBAR BARU KEC GROGOL PETAMBURAN KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 14450 SAMPING JL. JELAMBAR BARAT,-6.1878257,106.822746
2024,KOTA ADM. JAKARTA SELATAN,HLT202400354,REGULER,133010118004,JL. PANJANG NO 5 RT 5 RW 11 KEDOYA UTARA KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11520 HALTE ASHIDIQIAH,-6.1520552,106.8543543
2024,KOTA ADM. JAKARTA BARAT,HLT202400355,REGULER,133010118004,JL. PANGERAN TUBAGUS ANGKE RT 12 RW 14 WIJAYA KUSUMA KEC GROGOL PETAMBURAN KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 14450 SEBRANG BNI,-6.1350845,106.8112915
2024,KOTA ADM. JAKARTA SELATAN,HLT202400356,REGULER,133010118004,JL. PANJANG 68 RT 19 RW 4 KEDOYA SEL KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11520 SEBRANG BANK BJB,-6.2068747,106.9545682
2024,KOTA ADM. JAKARTA BARAT,HLT202400357,REGULER,133010118004,JL. KEMBANGAN RAYA 43 60 RT 1 RW 2 KEMBANGAN SEL KEC KEMBANGAN KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11610 HALTE KEMBANGAN RAYA,-6.183283,106.9248972
2024,KOTA ADM. JAKARTA PUSAT,HLT202400549,REGULER,133010118004,JL. TEUKU CIK DITIRO 14 6 RT 8 RW 2 GONDANGDIA KEC MENTENG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10350 HALTE KKI,-6.2193412,106.9234331
